"","name","type","latitude","longitude","population","year","gas","est_RFNB"
"1","Nain","Inuit","56.550322","-61.687865","1188","1979","25.8166666666667","226.22213049678"
"2","Hopedale","Inuit","55.457954","-60.211485","556","1979","27.225","206.522870613703"
"3","Rigolet","Inuit","54.179159","-58.429221","306","1979","27.225","219.656427262008"
"4","Postville","Inuit","54.908564","-59.770497","206","1979","27.225","215.805236766462"
"5","Makkovik","Inuit","55.09036","-59.176172","561","1979","27.225","212.755223749711"
"6","Inukjuak","Inuit","58.455121","-78.105103","1597","1979","23.95","209.935938772107"
"7","Ivujivik","Inuit","62.416667","-77.916667","370","1979","22.625","210.714923477923"
"8","Aklavik","Inuit","68.220102","-134.998551","633","1979","19.075","205.642483228824"
"9","Paulatuk","Inuit","69.348467","-124.07021","313","1979","19.075","207.168834895464"
"10","Sachs Harbour","Inuit","71.985123","-125.246483","112","1979","19.075","205.077396587536"
"11","Iqaluit","Inuit","63.746693","-68.516967","6699","1979","25.8166666666667","225.955941829699"
"12","Arctic Bay","Inuit","73.037575","-85.148031","823","1979","19.075","209.691674275438"
"13","Baker Lake","Inuit","64.317604","-96.022001","1872","1979","19.075","211.88408882254"
"14","Cambridge Bay","Inuit","69.108056","-105.138333","1608","1979","19.075","204.057335400734"
"15","Cape Dorset","Inuit","64.233304","-76.540568","1363","1979","22.625","207.826805456167"
"16","Chesterfield Inlet","Inuit","63.346514","-90.736827","313","1979","22.625","212.709162249409"
"17","Clyde River","Inuit","70.483874","-68.519828","934","1979","27.225","204.617292834658"
"18","Coral Harbour","Inuit","64.133739","-83.166893","834","1979","22.625","210.160078816298"
"19","Grise Fiord","Inuit","76.395732","-82.79391","130","1979","19.075","208.317616418785"
"20","Hall Beach","Inuit","68.772735","-81.235208","546","1979","22.625","219.131988119375"
"21","Igloolik","Inuit","69.366849","-81.824419","1454","1979","22.625","205.357123256089"
"22","Kimmirut","Inuit","62.847419","-69.869203","455","1979","25.8166666666667","206.461765786589"
"23","Kugluktuk","Inuit","67.815001","-115.136162","1450","1979","19.075","203.17464904628"
"24","Pangnirtung","Inuit","66.139533","-65.717481","1425","1979","27.225","207.404403561301"
"25","Pond Inlet","Inuit","72.700114","-77.958181","1549","1979","19.075","208.855793041125"
"26","Qikiqtarjuaq","Inuit","67.545148","-64.021831","520","1979","27.225","211.854926728045"
"27","Rankin Inlet","Inuit","62.808913","-92.087741","2266","1979","22.625","205.386351793891"
"28","Repulse Bay","Inuit","66.546565","-86.188196","945","1979","22.625","209.95576113773"
"29","Sanikiluaq","Inuit","56.540775","-79.222418","812","1979","23.95","212.659207162022"
"30","Whale Cove","Inuit","62.242523","-92.601676","407","1979","22.625","202.055813849141"
"31","Bathurst Inlet","Inuit","66.838889","-108.048611","0","1979","19.075","203.14429298161"
"32","Umingmaktuuq","Inuit","67.689851","-107.954525","5","1979","19.075","213.239942769693"
"33","Kangiqsujuaq","Inuit","61.59626","-71.953886","696","1979","23.8583333333333","213.421329510871"
"34","Kangirsuk","Inuit","60.023415","-70.026235","549","1979","25.8166666666667","135.03609086619"
"35","Kuujjuaq","Inuit","58.102996","-68.418839","2375","1979","25.8166666666667","140.574717295838"
"36","Kuujjuaraapik","Inuit","55.27457","-77.763784","657","1979","23.95","245.45790442885"
"37","Puvirnituq","Inuit","60.037118","-77.26923","1692","1979","23.95","126.939427033153"
"38","Quaqtaq","Inuit","61.041724","-69.639923","376","1979","25.8166666666667","191.979240383552"
"39","Salluit","Inuit","62.201285","-75.646856","1347","1979","23.8583333333333","156.030065217621"
"40","Tasiujaq","Inuit","58.697407","-69.937393","303","1979","25.8166666666667","231.573900718427"
"41","Umiujaq","Inuit","56.551953","-76.515001","444","1979","23.95","164.574247320337"
"42","Akulivik","Inuit","60.817681","-78.144241","615","1979","22.625","208.013449966664"
"43","Ulukhaktok","Inuit","70.733333","-117.75","402","1979","19.075","185.709666853374"
"44","Resolute Bay","Inuit","74.697299","-94.829729","214","1979","19.075","137.892667040796"
"45","Arviat","Inuit","61.095587","-94.07189","2318","1979","22.625","158.311661230467"
"46","Aupaluk","Inuit","59.30574","-69.597489","195","1979","25.8166666666667","127.210983878901"
"47","Gjoa Haven","Inuit","68.635556","-95.849722","1279","1979","19.075","130.803702524393"
"48","Kangiqsualujjuaq","Inuit","58.711389","-65.992778","874","1979","25.8166666666667","195.573756337632"
"49","Kugaaruk","Inuit","68.534722","-89.825","771","1979","19.075","220.852428132545"
"50","Taloyoak","Inuit","69.537378","-93.524968","899","1979","19.075","137.310921740784"
"51","Tuktoyaktuk","Inuit","69.445358","-133.034181","854","1979","19.075","145.772889068267"
"52","Killiniq","Inuit","60.420298106","-64.831129","0","1979","25.8166666666667","131.821030941711"
"53","Inuvik","Inuit","68.354382","-133.690613","3463","1979","19.075","219.599227413814"
"54","Fort William","First Nations","48.353968","-89.262714","193","1979","22.625","128.906425756806"
"55","Buffalo Point First Nation","First Nations","49.012444","-95.239622","52","1979","22.625","188.714040343503"
"56","Ojibway Nation of Saugeen","First Nations","50.434770016","-90.691783627","207","1979","22.625","283.766616889818"
"57","Lac La Croix","First Nations","48.38805556","-92.07805556","377","1979","22.625","161.087925714105"
"58","Madawaska Maliseet First Nation","First Nations","47.362299405","-68.296508276","314","1979","24.375","240.4883329223"
"59","Naotkamegwanning","First Nations","49.403889","-93.893056","51","1979","22.625","187.420053810284"
"60","Wabauskang First Nation","First Nations","50.416111","-93.185","292","1979","22.625","134.221333923948"
"61","Obashkaandagaang","First Nations","49.691111111","-94.613888889","300","1979","22.625","158.576478966658"
"62","Anishnaabeg of Naongashiing","First Nations","49.121944444","-94.308055556","357","1979","22.625","200.765443506389"
"63","Anishinabe of Wauzhushk Onigum","First Nations","49.741210937","-94.426944444","489","1979","22.625","132.218956018489"
"64","Gull Bay","First Nations","49.800908","-89.105937","64","1979","22.625","229.82694879561"
"65","Tobique","First Nations","46.784080938","-67.695149614","199","1979","24.375","135.540373469131"
"66","Couchiching First Nation","First Nations","48.682921942","-93.413057239","217","1979","22.625","150.999295010975"
"67","Northwest Angle No.33","First Nations","49.376111111","-95.021111111","405","1979","22.625","136.385439598649"
"68","Northwest Angle No.37","First Nations","49.375","-93.988888889","346","1979","22.625","129.639806219491"
"69","Mitaanjigamiing First Nation","First Nations","48.713055556","-93.361111111","98","1979","22.625","142.506409744931"
"70","Woodstock","First Nations","46.109192","-67.57747","554","1979","24.375","151.708453337125"
"71","Eagle Lake","First Nations","49.745","-93.055","428","1979","22.625","130.004039605718"
"72","Rainy River First Nations","First Nations","48.655","-93.906944444","561","1979","22.625","160.639550628343"
"73","Lac Des Mille Lacs","First Nations","48.965046882","-90.647195987","429","1979","22.625","233.699112660794"
"74","Wabaseemoong Independent Nations","First Nations","50.133333","-94.95","159","1979","22.625","232.075848255834"
"75","Big Grassy","First Nations","49.053956465","-94.305554548","497","1979","22.625","132.833801595006"
"76","Iskatewizaagegan #39 Independent First Nation","First Nations","49.653055556","-95.098055556","438","1979","22.625","212.47042670186"
"77","Ojibways of Onigaming First Nation","First Nations","49.176944444","-93.921111111","503","1979","22.625","203.272549127046"
"78","Grassy Narrows First Nation","First Nations","50.183055556","-94.036944444","99","1979","22.625","132.564874810931"
"79","Wabigoon Lake Ojibway Nation","First Nations","49.605","-92.523056","462","1979","22.625","154.949887720668"
"80","Ochiichagwe'babigo'ining First Nation","First Nations","49.893748992","-94.538129049","369","1979","22.625","134.409108075563"
"81","Naicatchewenin","First Nations","48.858888889","-93.578888889","376","1979","22.625","180.328525073373"
"82","Nigigoonsiminikaaning First Nation","First Nations","48.73846477","-92.925954105","319","1979","22.625","136.161740202435"
"83","Kingsclear","First Nations","45.950442","-66.851933","558","1979","24.375","132.77012327345"
"84","Shoal Lake No.40","First Nations","49.605561944","-95.132423611","433","1979","22.625","139.57484525931"
"85","Seine River First Nation","First Nations","48.718888889","-92.428055556","491","1979","22.625","192.984657586549"
"86","Lac Seul","First Nations","50.245","-92.328055556","304","1979","22.625","156.622871137901"
"87","Skuppah","First Nations","50.187988281","-121.578063965","39","1979","23.2083333333333","129.910193321707"
"88","Toosey","First Nations","51.920410156","-122.483764648","298","1979","23.2083333333333","238.741072870838"
"89","Première nation de Whapmagoostui","First Nations","55.16003418","-77.269897461","540","1979","23.95","182.318178107794"
"90","Katzie","First Nations","49.201504","-122.677245","417","1979","23.2083333333333","129.471125672037"
"91","Membertou","First Nations","46.116621","-60.195615","82","1979","25.8166666666667","285.147929086056"
"92","Yekooche First Nation","First Nations","54.600402832","-125.066101074","202","1979","23.2083333333333","163.90187198455"
"93","York Factory First Nation","First Nations","56.089782715","-96.108276367","55","1979","22.625","175.652485355216"
"94","Nisga'a Village of Laxgalt'sap","First Nations","55.037841797","-129.555786133","133","1979","23.2083333333333","140.088867616233"
